"","city","year","weekofyear","total_cases"
"1","sj",2008,18,4.72673333333333
"2","sj",2008,19,5.7013
"3","sj",2008,20,5.70403333333333
"4","sj",2008,21,7.31013333333333
"5","sj",2008,22,14.0019666666667
"6","sj",2008,23,14.6669333333333
"7","sj",2008,24,21.2054333333333
"8","sj",2008,25,26.9856666666667
"9","sj",2008,26,26.8535
"10","sj",2008,27,30.6646666666667
"11","sj",2008,28,34.0397333333333
"12","sj",2008,29,36.9577666666666
"13","sj",2008,30,38.5109333333333
"14","sj",2008,31,44.4585666666667
"15","sj",2008,32,67.6151
"16","sj",2008,33,73.4127666666666
"17","sj",2008,34,78.6760666666666
"18","sj",2008,35,86.1932333333333
"19","sj",2008,36,85.3226666666667
"20","sj",2008,37,86.9841
"21","sj",2008,38,97.0746
"22","sj",2008,39,98.0593666666666
"23","sj",2008,40,113.441133333333
"24","sj",2008,41,110.3479
"25","sj",2008,42,85.1459333333333
"26","sj",2008,43,75.8659
"27","sj",2008,44,58.8462333333334
"28","sj",2008,45,48.6004333333334
"29","sj",2008,46,36.5950666666667
"30","sj",2008,47,31.7591666666667
"31","sj",2008,48,26.5838333333333
"32","sj",2008,49,20.7275333333333
"33","sj",2008,50,17.3252666666667
"34","sj",2008,51,16.7026333333333
"35","sj",2008,52,17.5042666666667
"36","sj",2009,1,12.5677
"37","sj",2009,2,13.209
"38","sj",2009,3,15.5946
"39","sj",2009,4,9.37776666666667
"40","sj",2009,5,8.152
"41","sj",2009,6,5.3325
"42","sj",2009,7,6.2414
"43","sj",2009,8,6.66443333333333
"44","sj",2009,9,6.45436666666667
"45","sj",2009,10,5.93446666666667
"46","sj",2009,11,4.6538
"47","sj",2009,12,4.7271
"48","sj",2009,13,3.98023333333334
"49","sj",2009,14,3.16353333333334
"50","sj",2009,15,3.1955
"51","sj",2009,16,3.3074
"52","sj",2009,17,4.21073333333334
"53","sj",2009,18,4.72673333333333
"54","sj",2009,19,5.7013
"55","sj",2009,20,5.70403333333333
"56","sj",2009,21,7.31013333333333
"57","sj",2009,22,14.0019666666667
"58","sj",2009,23,14.6669333333333
